what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1277281783551
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1277281783551
java.specification.name,sysinfo,,,"Java Platform API Specification",1277281783551
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277281783551
java.specification.version,sysinfo,,,"1.6",1277281783551
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1277281783551
java.version,sysinfo,,,"1.6.0_18",1277281783551
java.vm.info,sysinfo,,,"mixed mode, sharing",1277281783551
java.vm.name,sysinfo,,,"OpenJDK Client VM",1277281783551
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1277281783551
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277281783551
java.vm.specification.version,sysinfo,,,"1.0",1277281783551
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1277281783551
java.vm.version,sysinfo,,,"14.0-b16",1277281783551
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1277281783600
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1277281783718
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1277281783759
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1277281783904
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277281786349
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1277281786369
started,bundle,org.springframework.ide.eclipse.ui,2.2.0.v200809261800,"org.springframework.ide.eclipse.ui",1277281786717
started,bundle,org.springframework.ide.eclipse.core,2.2.0.v200809261800,"org.springframework.ide.eclipse.core",1277281786751
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.0.v200809261800,"org.springframework.ide.eclipse.beans.ui",1277281786756
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.0.v200809261800,"org.springframework.ide.eclipse.beans.core",1277281786793
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277281789714
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277281789743
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277281790457
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1277281792000
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1277281792026
